identifier	part_of	wikipedia	m49_code
Africa		https://en.wikipedia.org/wiki/Africa	002
Asia		https://en.wikipedia.org/wiki/Asia	142
Australasia		https://en.wikipedia.org/wiki/Australasia	
Australia		https://en.wikipedia.org/wiki/Australia	036
China	Asia	https://en.wikipedia.org/wiki/China	156
cultivated origin			
East Asia	Asia	https://en.wikipedia.org/wiki/East_Asia	030
Eastern Europe	Europe	https://en.wikipedia.org/wiki/Eastern_Europe	151
Europe		https://en.wikipedia.org/wiki/Europe	150
hybrid origin			
Indo-Pacific		https://en.wikipedia.org/wiki/Indo-Pacific	
New Zealand		https://en.wikipedia.org/wiki/New_Zealand	554
Northeast Asia	Asia	https://en.wikipedia.org/wiki/Northeast_Asia	
North Africa	Africa	https://en.wikipedia.org/wiki/North_Africa	015
Northern America	Americas	https://en.wikipedia.org/wiki/Northern_America	021
Americas		https://en.wikipedia.org/wiki/Americas	019
Pantropical		https://en.wikipedia.org/wiki/Pantropical	
Ponto-Caspian		https://en.wikipedia.org/wiki/Pontic%E2%80%93Caspian_steppe	
South America	America	https://en.wikipedia.org/wiki/South_America	005
Southeast Asia	Asia	https://en.wikipedia.org/wiki/Southeast_Asia	035
Southern Europe	Europe	https://en.wikipedia.org/wiki/Southern_Europe	039
Southern Hemisphere		https://en.wikipedia.org/wiki/Southern_Hemisphere	
Temperate Asia	Asia	https://commons.wikimedia.org/wiki/Category:Asia_Temperate	
Tropical and warm seas			
Tropical Asia	Asia	https://en.wikipedia.org/wiki/Tropical_Asia	
United States	Americas	https://en.wikipedia.org/wiki/United_States	840
West Africa	Africa	https://en.wikipedia.org/wiki/West_Africa	011
Western Atlantic			
